voicing_id,voicing_name,chord_quality,category,existing_tags,agent_proposed_voicingStyle,agent_proposed_playStyle,agent_confidence,agent_reasoning,voter1_verdict,voter1_override_reason,voter1_additions,voter1_notes,voter2_verdict,voter2_override_reason,voter2_additions,voter2_notes,voter3_verdict,voter3_override_reason,voter3_additions,voter3_notes
caug7-cm7-drop2-b7top-7,Caug7 — Fret 5 — Drop 2,aug7,drop2,"chord-melody, melody-b7, 7-string",,"drop-2, block",MED,drop-2 (MED): derived from category='drop2' | block (MED): derived from category='drop2',,,,,,,,,,,,
cmaj7-cv7-drop3-7str-7,Cmaj7 — 7-str bass — Drop 3,maj7,drop3,"drop3, 7-string, van-eps","drop-3, van-eps",,HIGH,"drop-3 (MED): existing tag 'drop-3' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['jody-fisher', 'joe-pass'] | van-eps (HIGH): existing voi…",,,,,,,,,,,,
cdim7-drop3-a-shape-7,Cdim7 — A shape — Drop 3 (b5 on top),dim7,drop3,"drop3, a-string-root, 7-string",,drop-3,MED,drop-3 (MED): derived from category='drop3',,,,,,,,,,,,
c13sus4-cv7-extended-7str-19,C13sus4 — Fret 1 — Extended (4th on top),13sus4,extended,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
c13-chordsdb-f3-6,C13 — Fret 3 — Extended,dom13,extended,"imported, chords-db",,,NONE,,,,,,,,,,,,,
cquartal-eb-upper-6-cm6,Cquartal — Str 1-2-3-4 — Quartal (5th on top),quartal,quartal,"quartal, c-dorian, str-1-2-3-4",quartal,,HIGH,quartal (HIGH): existing voicing.tags='quartal' matches master voicingStyleTag (attributes to ['jim-hall']),,,,,,,,,,,,
c7-cv7-shell-7str-7,C7 — 7-str root — Shell (3rd on top),dom7,shell,"shell, 7-string, van-eps","shell, van-eps",,HIGH,shell (MED): existing tag 'shell' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['peter-bernstein'] | van-eps (HIGH): existing voicing.tags=…,,,,,,,,,,,,
c7-shell-d-shape-6-cm6,C7 — D shape — Shell (b7 on top),dom7,shell,"caged-d, shell, d-string-root",shell,,MED,shell (MED): existing tag 'shell' + category=shell + quality='dom7' matches bernstein R-3-7 shell principle,,,,,,,,,,,,
caug7-shell-d-shape-6-cm6,Caug7 — D shape — Shell (7th on top),aug7,shell,"shell, d-string-root",,,NONE,,,,,,,,,,,,,
c13s9-cm6-altered-6str-30,C13#9 — Fret 7 — Altered (3rd on top),13sharp9,altered,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",altered-dominant,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
caug7-cm7-drop2-1top-7,Caug7 — Fret 8 — Drop 2,aug7,drop2,"chord-melody, melody-root, 7-string",,"drop-2, block",MED,drop-2 (MED): derived from category='drop2' | block (MED): derived from category='drop2',,,,,,,,,,,,
cm7-cm7-drop3-7str-7,Cm7 — 7-str bass — Drop 3,min7,drop3,"drop3, 7-string, van-eps","drop-3, van-eps",,HIGH,"drop-3 (MED): existing tag 'drop-3' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['jody-fisher', 'joe-pass'] | van-eps (HIGH): existing voi…",,,,,,,,,,,,
c7-drop3-a-shape-6-cm6,C7 — A shape — Drop 3 (5th on top),dom7,drop3,"drop3, a-string-root",,drop-3,MED,drop-3 (MED): derived from category='drop3',,,,,,,,,,,,
c9sus4-cm6-extended-6str-14,C9sus4 — Fret 6 — Extended (b7 on top),9sus4,extended,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
c7b13-ext-a-shape-6-cm6,Cdom7b13 — A shape — Extended (b13 on top),dom7b13,extended,"extended, a-string-root",,,NONE,,,,,,,,,,,,,
cquartal-f-upper-6-cm6,Cquartal — Str 1-2-3-4 — Quartal (13th on top),quartal,quartal,"quartal, c-dorian, str-1-2-3-4",quartal,,HIGH,quartal (HIGH): existing voicing.tags='quartal' matches master voicingStyleTag (attributes to ['jim-hall']),,,,,,,,,,,,
c7alt-cm7-shell-7str-7,C7alt — 7-str root — Shell (b5 on top),dom7alt,shell,"shell, 7-string, van-eps","shell, van-eps",,HIGH,shell (MED): existing tag 'shell' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['peter-bernstein'] | van-eps (HIGH): existing voicing.tags=…,,,,,,,,,,,,
cdom7-cm7-shell-a-7,C7 — A shape — Shell (b7 on top),dom7,shell,shell,shell,,MED,shell (MED): existing tag 'shell' + category=shell + quality='dom7' matches bernstein R-3-7 shell principle,,,,,,,,,,,,
caug7-cm7-shell-a-7,Caug7 — A shape — Shell (b7 on top),aug7,shell,shell,,,NONE,,,,,,,,,,,,,
